,0
"Коли Іванові минуло сім літ, він уже дивився на світ інакше.",1
Він знав вже багато.,1
"Умів знаходити помічне зілля - одален, матриган і підойму, розумів, про що канькає каня, з чого повстала зозуля, і коли оповідав про все те вдома, мати непевно позирала на нього: може, воно до нього говорить?",0
"Знав, що на світі панує нечиста сила, що арідник (злий дух) править усім; що в лісах повно лісовиків, які пасуть там свою маржинку([6]): оленів, зайців і серн; що там блукає веселий чугайстир, який зараз просить стрічного в танець та роздирає нявки; що живе в лісі голос сокири.",1
"Вище, по безводних далеких недеях([7]), нявки розводять свої безконечні танки, а по скелях ховається щезник.",-1
"Міг би розказати і про русалок, що гарної днини виходять з води на берег, щоб співати пісень, вигадувать байки і молитви, про потопельників, які по заході сонця сушать бліде тіло своє на каменях в річці.",-1
"Всякі злі духи заповнюють скелі, ліси, провалля, хати й загороди та чигають на християнина або на маржину, щоб зробити їм шкоду.",-1
"Не раз, прокинувшись уночі, серед ворожої тиші, він тремтів, сповнений жахом.",-1
"Весь світ був як казка, повна чудес, таємнича, цікава й страшна.",1
Тепер він вже мав обов'язки - його посилали пасти корови.,0
"Гнав в ліс своїх жовтаню та голубаню, і коли вони потопали в хвилях лісових трав та молодих смеречок і вже звідти обзивались до нього, як з-під води, тужливим дзвоном своїх дзвінків, він сідав десь на узбіччі гори, виймав денцівку (сопілку) і вигравав немудрі пісні, яких навчився од старших.",1
Однак та музика не вдовольняла його.,0
"З досадою кидав денцівку і слухав інших мелодій, що жили в ньому, неясні і невловимі.",0
"Знизу підіймавсь до Івана і затоплював гори глухий гомін ріки, а в нього капав од часу до часу прозорий дзвін колокільця.",0
"З-за галузки смереки виглядали зажурені гори, напоєні сумом тіней од хмар, що все стирали бліду усмішку царинок.",-1
"Гори щохвилини міняли свій настрій: коли сміялась царинка, хмурився ліс.",0
"І як трудно було вдивитись в те рухливе обличчя гір, так трудно було дитині спіймати химерну мелодію пісні, що вилась, тріпала крильцями коло самого вуха і не давалась.",1
Одного разу він покинув свої корови і подряпавсь на самий грунь (верх).,0
"Ледве помітною стежкою підіймавсь вище і вище, поміж густі зарослі блідої папороті, колючої ожини й малини.",-1
"Легко перескакував з камінця на камінчик, перелазив через повалені дерева, продирався крізь гіллячки кущів.",1
"За ним підіймався з долини вічний шум річки, росли гори, і вже вставав на крайнебі блакитний привид Чорногори.",0
"Довгі плакучі трави крили тепер боки гори, дзвінки корів обзивались, як далеке зітхання, все частіше попадалось велике каміння, що далі, на самім вершку, творило хаос поламаних скель, списаних лишаями, здушених у гадючих обіймах корінням смерек.",-1
"Під ногами в Івана кождий камінь вкривали рудаві мхи, грубі м'які, шовкові.",-1
"Теплі і ніжні, вони ховали у собі позолочену сонцем воду літніх дощів, м'яко вгинались і обіймали ногу, як пухова подушка.",1
"Кучерява зелень гогозів і афин([8]) запустила своє коріння у глибінь моху, а зверху сипнула росою червоних та синіх ягід.",0
Тут Іван сів одпочити.,0
"Ніжно дзвеніла над ним хвоя смерек, змішавшись з шумом ріки, сонце налляло злотом глибоку долину, зазеленило трави, десь курився синій димок од ватри([9]), з-за Ігриця оксамитовим гулом котився грім.",0
"Іван сидів і слухав, забувши зовсім, що має доглядати корови.",0
"І ось раптом в сій дзвінкій тиші почув він тиху музику, яка так довго і невловимо вилась круг його вуха, що навіть справляла муку!",-1
"Застиглий і нерухомий, витягнув шию і з радісним напруженням ловив дивну мелодію пісні.",-1
"Так люди не грали, він принаймні ніколи не чув.",-1
Але хто грав?,-1
"Навкруги була пустка, самотній ліс і не видно було живої душі.",0
"Іван озирнувся назад, на скелі, - і скаменів.",-1
"На камені, верхи, сидів ""той"", щезник, скривив гостру борідку, нагнув ріжки і, заплющивши очі, дув у флояру.",1
"""Нема моїх кіз… Нема моїх кіз…"" - розливалась жалем флояра.",-1
"Та ось ріжки піднялись вгору, щоки надулись і розплющились очі.",0
"""Є мої кози… Є мої кози…"" - заскакали радісно згуки, і Іван з жахом побачив, як, виткнувшись з-за галузок, затрясли головами бородаті цапи.",0
Він хтів тікати - й не міг.,-1
"Сидів прикутий на місці і німо кричав од холодного жаху, а коли врешті видобув голос, щезник звинувся і пропав раптом у скелі, а цапи обернулись в коріння дерев, повалених вітром.",-1
"Іван гнав тепер вниз, без тями, наосліп, рвав зрадливі обійми ожин, ламав сухі гіллячки, котився по слизьких мхах і з жахом чув, що за ним щось женеться.",-1
Нарешті впав.,0
"Скільки лежав, не пам'ятає.",-1
"Прийшовши до себе і вздрівши знайомі місця, він заспокоївся трохи.",0
"Здивований, наслухав якийсь час.",0
"Пісня, здавалось, бриніла вже в ньому.",-1
Він вийняв денцівку.,0
"Зразу йому не йшло, мелодія не давалась.",0
"Починав грати спочатку, напружував пам'ять, ловив якісь згуки, і коли врешті знайшов, що віддавна шукав, що не давало йому спокою, і лісом поплила чудна, не відома ще пісня, радість вступила у його серце, залляла сонцем гори, ліс і траву, заклекотіла в потоках, підняла ноги в Івана, і він, пожбурнувши денцівку в траву та взявшись у боки, закрутився в танці.",1
"Перебирав ногами, ставав легко на пальці, бив босими п'ятами в землю, щібав голубці, крутився і присідав.",1
"""Є мої кози… Є мої кози…"" - щось співало у ньому.",0
"На сонячній плямі полянки, що закралась в похмуре царство смерек, скакав біленький хлопчик, немов метелик пурхав зі стебла на стеблину, а обидві корови - жовтаня і голубаня, просунувши голови межи галузки, привітно дивились на нього, жуючи жуйку, та зрідка дзвонили йому до танцю.",-1
"Так знайшов він у лісі те, чого шукав.",0
"Вдома, в родині, Іван часто був свідком неспокою і горя.",-1
"За його пам'яті вже двічі коло їх хати трембітала трембіта([10]), оповіщаючи горам і долам про смерть: раз, коли брата Олексу роздушило дерево в лісі, а вдруге, коли браччік Василь, файний веселий леЄінь, загинув у бійці з ворожим родом, посічений топірцями.",-1
Се була стара ворожнеча між їхнім родом і родом Гутенюків.,-1
"Хоч всі в родині кипіли злістю й завзяттям на той диявольський рід, але ніхто не міг докладно розказати Іванові, звідки пішла ворожнеча.",-1
"Він теж горів бажанням помститись і хапавсь за татову бартку, важку ще для нього, готовий кинутись в бій.",-1
"То байка, що Іван був дев'ятнадцятий в батька, а Анничка двадцята.",0
Їхня родина була невелика: старині двоє та п'ятеро дітей.,-1
Решта п'ятнадцять спочило на цвинтарі біля церковці.,0
"Всі вони були богомільні, любили ходити до церкви, і особливо на храм.",1
"Там можна побачитись було з далеким родом, що осівся по околишніх селах, та й траплялась нагода оддячить Гутенюкам за смерть Василеву та за ту кров, що не раз чюрила з Палійчуків.",0
"Витягалось найкраще лудіння (одежа), нові крашениці, писані кептарі, череси і табівки, багато набивані цвяхом, дротяні запаски, черлені хустки шовкові і навіть пишна та білосніжна гугля, яку мати обережно несла на ціпку через плече.",1
"Іван теж дістав нову кресаню і довгу дзьобню, що била його по ногах.",0
"Сідлались коні, і суточками([11]) зеленим верхом ішов пишний похід та закосичував плай гейби червоним маком.",1
"По горах, долами й верхами, тяглися святочно прибрані люди.",0
"Зелена отава царинок розцвіталася раптом, вздовж Черемошу плив різнобарвний потік, а десь високо, на чорному запиналі смерекових лісів, жаром горів під ранішнім сонцем червоний дашок гуцульського парасоля.",-1
Незабаром Іван побачив стрічу ворожих родів.,-1
"Вони вже вертали з храму, тато був трохи напитий.",0
"Раптом на вузенькій дорозі, між скелею і Черемошем, зробився тиск.",-1
"Вози, кінні і піші, чоловіки й жінки - спинились і збились в купу.",0
"В лютому Євалті, що звіявсь одразу, як вихор, невідомо од чого, заблищали залізні бартки та заскакали перед самим обличчям.",-1
"Як кремінь і криця, стялись роди- Гутенюки з Палійчуками, і перше ніж Іван встиг розібрати, про що їм йдеться, тато розмахнув бартку і вдарив плазом комусь по чолі, з якого бризнула кров, залляла лице, сорочку та пишний кептар.",1
"Йойкнула челядь([12]), кинулась одтягати.",0
"а вже людина з лицем червоним, як його гачі, тяла барткою ворога в голову, і похитнувся Іванів тато, як підтята смерека.",-1
Іван кинувся в бійку.,-1
"Не пам'ятав, що робить.",0
Щось підняло його.,0
"Але дорослі потолочили йому ноги, і він не міг протиснутись туди, де бились.",-1
"Все ще гарячий, роз'юшений злістю, він наскочив з розгону на маленьке дівча, що тряслось з жаху біля самого воза.",-1
Ага!,0
"Се, певно, Гутенюкова дівка!",0
"І, не думавши довго, ударив її в лице.",0
"Вона скривилась, притулила руками до грудей сорочку і почала тікати.",-1
"Іван зловив її коло ріки, шарпнув за пазуху і роздер.",0
"Звідти впали на землю нові кісники, а дівчинка з криком кинулась їх захищати.",1
Але він видер і кинув у воду.,0
"Тоді дівчинка, зігнута вся, подивилась на нього спідлоба якимсь глибоким зором чорних матових очей і спокійно сказала:

- Нічьо… В мене є другі… май ліпші.",0
Вона наче його потішала.,0
"Здивований лагідним тоном, хлопець мовчав.",0
"- Мені неня купила нову запаску… і постоли… і мережані капчурі… і…

Він все ще не знав, що сказати.",1
"- Я си обую файно та й буду дівка…

Тоді йому заздрісне стало.",0
- А я вже вмію грати в денцівку.,-1
"- Наш Федір зробив си таку файну флояру… та й як зайграє…

Іван надувся.",0
- Я вже щезника бачив.,0
Вона неймовірно подивилась на нього.,1
- А наш о ж ти б'єш си?,0
- А ти нашо коло воза стояла?,0
"Вона подумала трохи, не знаючи, що одповісти, і почала шукать щось за пазухою.",0
Витягла врешті довгий цукерок.,-1
- Ади!,0
"Половину вкусила, а другу поважним, повним довір'я рухом подала йому.",1
- На!,0
"Він завагався, але узяв.",0
"Тепер вони вже сиділи рядочком, забувши про вереск бійки й сердитий шум річки, а вона оповідала йому, що зветься Марічка, що пасе вже дроб'єта (вівці), що якась Марцинова - сліпа на одно око - покрала у них муку… і таке інше, обом цікаве, близьке і зрозуміле, а погляд її чорних матових очей м'яко поринав у Іваново серце…

І втретє затрембітала трембіта про смерть в самотній хаті на високій кичері: другого дня по бійці помер старий Палійчук.",-1
Тяжкі часи настали в родині Івана по смерті Єазди.,-1
"Загніздилось безладдя, спливали гаразди, продавались царинки одна по одній, і маржина десь танула так, як по горах весною сніги.",-1
"Але в Івановій пам'яті татова смерть не так довго жила, як знайомість з дівчам, що, скривджене ним безневинно, повним довір'я рухом подало йому половину цукерка.",-1
В його давній і безпричинний смуток влилась нова течійка.,0
"Вона несвідомо тягла його в гори, носила по сусідніх кичерах, лісах і долинах, де б він міг стріти Марічку.",-1
І він стрівся нарешті з нею: пасла ягнята.,0
"Марічка його прийняла, як би давно сподівалась: він буде з нею пасти овечки.",0
А й справді!,0
"Нехай жовтаня та голубаня для себе б'ють в колокільці та вирікують в лісі, а він йме пасти її ягнята.",0
І як вони пасли!,0
"Білі ярки, забившись у холодок під смереку, дивились дурними очима, як качались по мхах двоє дітей, дзвонячи в тиші молодим сміхом.",-1
"Втомившись, вони забирались на біле каміння і лячно зазирали звідти у прірву, з якої стрімко підіймався у небо чорний привид гори і дихав синню, що не хтіла тануть на сонці.",1
В щілині поміж горами летів в долину потік і тряс по каміннях сивою бородою.,-1
"Так було тепло, самотньо і лячно у віковічній тиші, яку беріг ліс, що діти чули власне дихання.",0
"Але вухо уперто ловило і побільшало до найбільших розмірів усякий згук, що мусив жить в лісі, і їм часом здавалось, що вони чують чийсь хід потайний, глухе гупання барди, хекання втомлених грудей.",-1
"- Чуєш, Іва?",0
- шепотіла Марічка.,0
- Чому б не мав чути?,0
А чую.,0
"Вони обоє знали, що то бродить по лісі невидима сокира, гупа об дерева і хека з втомлених грудей.",-1
"Ляк проганяв їх звідти в долину, де потік плив спокійніше.",-1
"Вони робили собі курбало у потоці, глибоке місце, і, роздягшись, бовтались в нім, як двоє лісних звірят, що не знають, що таке сором.",-1
"Сонце спочивало на їх яснім волоссі і било в очі, а льодова вода потоку щипала тіло.",0
Марічка перша змерзала і пускалася бігти.,0
"- Стій,- гукав на неї Іван,- звідки ти?",0
"- З Я-вор-рова,- цокотіла зубами синя Марічка.",0
- А чия ти?,0
- Ковальова.,0
"- Бувай здорова, ковальова!",1
"- щипав її Іван і пускавсь доганяти, аж поки потомлені, але загріті, не падали на траву.",-1
"В тихім плесі потічка, над яким горів царівник сонячним світом та синів лабуштан низкою черевичків, жалібно кумкали жаби.",1
"Іван нахилявся понад потоком і питав жабу:

- Кума-кума, шо-с варила?",-1
- Бурак - борщ.,0
Бурак - борщ.,0
"Бурак - борщ… - кректала Марічка…

- Бураки-ки-ки!",0
Бураки-ки-ки!,0
"- верещали обоє, заплющивши очі, аж жаби здивовано мовкли.",0
"І так вони пасли, що не раз розгубили овечки.",0
"Коли вони старшими стали, забави були вже інші.",1
"Тепер Іван був уже леЄінь, стрункий і міцний, як смерічка, мастив кучері маслом, носив широкий черес і пишну кресаню.",1
"Марічка теж вже ходила в заплітках, а се значити мало, що вона вже готова й віддатись.",1
Не пасли більше вкупі ягнята і стрічались лиш в свято або в неділю.,0
"Сходились коло церкви або десь в лісі, щоб стариня не знала, як кохаються діти.",0
ворожих родів.,-1
"Марічка любила, коли він грав на флояру.",0
"Задуманий все, встромляв очі кудись поза гори, неначе видів, чого не бачили другі, прикладав мережану дудку до повних уст, і чудна пісня, якої ніхто не грав, тихо спадала на зелену отаву царинок, де вигідно послали свої тіні смереки.",-1
"Холодно було і мороз йшов поза шкуру, коли вилітали перші свистячі згуки.",-1
Наче зими лежали по мертвих горах.,-1
Та ось з-за гори встає вже бог-сонце і вкладає свою голову в землю.,0
"Зрушились зими, збудились води, і задзвеніла земля од співу потоків.",-1
"Розсипалось сонце пилом квіток, легким ходом ідуть по царинках нявки, а під ногами у них зеленіє перша трава.",1
"Зеленим духом дихнули смереки, зеленим сміхом засміялися трави, на всьому світі тільки дві барви: в зеленій - земля, в блакитній - небо… А долом Черемош мчить, жене зелену кров гір, неспокійну й шумливу…

Трембіта!… Туру-рай-ра… Туру-рай-ра…

Заграло серце у вівчарів, заблеяли вівці, учувши пашу… Шумить шваром полонина холодна, а з диких ломів, з гайна, встає на задні лаби ведмідь, пробує голос і вже бачить заспаним оком свою поживу.",0
"Б'ють плови([13]) весняні, ричать громом гірські верхи - і дух злого холодом віє од Чорногори… а тут раптом з'являється сонце - праве боже лице - і вже дзвенить у коси, що кладуть сіно в поліг.",-1
"З гори на гору, з поточка в поточок пурха коломийка, така легенька, прозора, що чуєш, як од неї за плечима тріпають крильця…

Ой прибігла з полонинки
Білая овечка -
Люблю тебе, файла любко,
Та й твої словечка…
Тихо дзвонить хвоя смерек, тихо шепчуть ліси холодні сни літньої ночі, плачуть дзвінки коров, і гори безперестанку спускають сум свій в потоки.",-1
"З лускотом й зойком летить десь в долину зрубане дерево в лісі, аж гори одвітно зітхають,- і знову плаче трембіта.",-1
Тепер вже на смерть… Спочив хтось навіки по тяжкій праці.,-1
"Закувала зозуленька та й коло Менчила… от тепер вже співаночка комусь си скінчила…

Марічка обзивалась на гру флояри, як самичка до дикого голуба,- співанками.",-1
Вона їх знала безліч.,0
Звідки вони з'являлись - не могла б розказати.,0
"Вони, здається, гойдалися з нею ще у колисці, хлюпались у купелі, родились у її грудях, як сходять квітки самосійні по сіножатях, як смереки ростуть по горах.",0
"На що б око не впало, що б не сталось на світі: чи пропала овечка, полюбив леЄінь, зрадила дівка, заслабла корова, зашуміла смерека - все виливалось у пісню, легку і просту, як ті гори в їх давнім, первіснім житті.",1
Марічка і сама вміла складати пісні.,0
"Сидячи на землі, поруч з Іваном, вона обіймала свої коліна і потиху гойдалася в такт.",1
"її круглі литки, опалені сонцем і од колін голі до червоних онучів, чорніли під полою сорочки, а повні губи мило ламались, коли вона починала:

Зозулька ми закувала сива та маленька.",0
"На все село іскладена пісенька новенька…

Маріччина пісня оповідала всім добре знайому подію, ще свіжу: як зчарувала Андрія Параска, як він вмирав од того та навчав не любити чужі молодиці.",1
"Або про горе матері, якої син загинув у лісі, придушений деревом.",-1
"Пісні були сумні, прості і ревні, аж краяли серце.",0
"Вона їх звичайно кінчала:

Ой кувала ми зозулька та й коло потічка.",0
А хто ісклав співаночку?,0
Йванкова Марічка.,0
"Вона давно вже була Іванкова, ще з тринадцяти літ.",0
Що ж в тому дивного було?,0
"Пасучи вівці, бачила часто, як цап перчить козу або баран валує вівці,- все було так просто, природно, відколи світ світом, що жадна нечиста думка не засмітила їй серця.",1
"Правда, кози та вівці стають од того кітні, але людям помагає ворожка.",0
Марічка не боялась нічого.,-1
"За поясом, на голім тілі, вона носила часник, над яким пошептала ворожка, їй ніщо тепер не зашкодить.",-1
На згадку про се Марічка лукаво осміхалась до себе і обіймала Івана за шию.,1
- Любчику Іванку!,0
Ци будемо в парі усе?,0
"- Єк бог даст, моє солодашко.",0
"- Ой, ні!",0
Велику пізьму має у серці стариня наша.,1
Не набутися нам.,0
Тоді його очі темніли і груз топірець в землю.,0
- Я не требую їхнею згодою.,0
"Най що хотє роб'є, а ти будеш моєю.",0
- Ой мой-мой!,0
"Шо ти говориш…

- Шо чуєш, душко.",0
"І наче на злість старині він на танцях вимахував дівкою так, що аж постоли розсідались.",-1
"Однак не все так складалось, як думав Іван.",0
"Ґаздівство його руйнувалось, вже не було коло чого усім робити і треба було йти в найми.",-1
Жура гризла Івана.,0
"- Мушу йти в полонину, Марічко,- сумував, він заздалегідь.",0
"- Шо ж, йди, Іванку,- покірно обзивалась Марічка.- Така нам доля судилась…

І вона співанками косичила їх розлучення, Їй було жалко, що надовго перервуться їхні стрічі в тихому лісі.",1
"Обіймала за шию Івана та, тулячи до його лиця біляву головку, стиха співала йому над вухом:

Ізгадай мні, мій миленький,
Два рази на днину,
А я тебе ізгадаю
Сім раз на годину.",1
- Ізгадаєш?,0
"- Ізгадаю, Марічко.",0
- Нічьо!,0
"- потішала вона його.- Ти меш, сарако, вівчарити, я му сіно робити.",0
"Вилізу на копицу та й си подивлю в гори на полонинку, а ти мені затрембітай… Може, почую.",0
"Як муть мряки сідати на гори, я сяду та й си заплачу, що не видно, де пробуває милий.",1
"А як в погожу нічку зазоріє небо, я му дивитись, котра зірка над полонинков - тоту бачить Іванко…

Тільки співати залишу…

- Чьому?",1
"Співай, Марічко, не втрачай веселості свої, я си хутко поверну.",-1
Але вона тільки сумно головою хитала.,-1
"Співаночки мої милі,
Де я вас подію?",0
"Хіба я вас, співаночки,
Горами посію, -
стиха обізвалась до нього Марічка.",0
"Гой ви мете, співаночки,
Горами співати,
Я си буду, молоденька,
Сльозами вмивати.",0
"Марічка зітхнула і ще сумніше додала:

Ой як буде добра доля,
Я вас позбираю,
А як буде лиха доля,
Я вас занехаю…
- Отак і мені… Може, і занехаю…

Іван слухав тоненький дівочий голос і думав, що вона давно вже засіяла гори співанками своїми, що їх співають ліси й сіножаті, груні й полонини, дзвонять потоки і виспівує сонце… Але прийде пора, він поверне до неї, і вона знов позбирає співанки, щоб було одбуть чим весілля…

x x x
Теплим весняним ранком Іван ішов в полонину.",0
"Ліси ще дихали холодками, гірські води шуміли на скоках, а плай([14]) радісно підіймався угору поміж воринням([15]).",1
"Хоч йому тяжко було покидати Марічку, а проте сонце і та шумлива зелена воля, що підпирала верхами небо, вливали в нього бадьорість.",0
"Він легко стрибав з каменя на камінь, наче гірський потік, і вітав стрічних, аби тільки почути свій голос:

- Слава Ісусу!",1
- Навіки слава.,1
"По далеких горбах самотіли тихі гуцульські оседки, вишневі од смерекового диму, яким прокурились, гострі дашки оборогів([16]) з запашним сіном, а в долині кучерявий Черемош сердито поблискував сивиною та світив попід скелі недобрим зеленим вогнем.",1
"Переходячи потік за потоком, минаючи хмурі ліси, де озивалась часом дзвінком корова або білиця сипала вниз під смереку об'їдки шишок, Іван піднімався все вище.",-1
"Сонце починало пекти, і кам'яниста доріжка мулила ноги.",0
Тепер вже хати попадалися рідше.,0
"Черемош простягся в долині, як срібна нитка, і шум його сюди не доходив.",-1
"Ліси уступали місце гірським сіножатям, м'яким і повним.",0
"Іван брів серед них, як по озерах квіток, нагинаючись часом, щоб закосичить кресаню жмутком червоної грані або блідим вінком невістульки.",-1
"Вниз западалися боки гори у глибокі чорні ізвори, звідки родились холодні потоки, куди не ступала людська нога, де плекався тільки бурий ведмідь, страшний ворог маржини - ""вуйко"".",-1
Вода попадалася рідше.,0
"Зате як припадав він до неї, коли знаходив потік, той холодний кришталь, що омивав десь жовті корні смерек і аж сюди приносив гомін лісів!",-1
Коло такого поточна якась добра душа лишала горнятко або коновочку гуслянки.,0
"А стежка вела все далі, кудись у ломи, де гнили одна на одній голі колючі смереки, без кори й хвої, як кістяки.",1
"Пусто і дико було на тих лісових кладовищах, забутих богом й людьми, де лиш готури гутіли та вились гадюки.",-1
"Тут була тиша, великий спокій природи, строгість і сум.",1
За плечима в Івана росли вже гори і голубіли удалині.,0
"Орел здіймався з кам'яних шпиць, благословляючи їх широким розмахом крил, чулось холодне полонинське дихання, і розросталось небо.",0
"Замість лісів тепер слався землею жереп, чорний килим повзучих смерек, в якому плутались ноги, і мхи одягали камінь зеленим шовком.",-1
"Далекі гори одкривали один за одним свої верхи, вигинали хребти, вставали, як хвилі в синьому морі.",1
"Здавалось, морські буруни застигли саме в ту мить, коли буря підняла їх з дна, щоб кинуть на землю та заллять світ.",-1
"Вже синіми хмарами підпирали крайнебо буковинські верхи, оповились блакиттю близькі Синиці, Дземброня і Біла Кобила, курився Ігрець, колола небо гострим шпилем Говерля, і Чорногора важким своїм тілом давила землю.",-1
Полонина!,0
"Він вже стояв на ній, на сій високій луці, вкритій густою травою.",-1
"Блакитне море збурених гір обляло Івана широким колом, і здавалось, що ті безконечні сині вали таки ідуть на нього, готові впасти до ніг.",0
"Вітер, гострий, як наточена бартка, бив йому в груди, його дихання в одно зливалось із диханням гір, і гордість обняла Іванову душу.",1
"Він хотів крикнуть на всі легені, щоб луна покотилась з гори на гору, аж до крайнеба, щоб захитати море верхів, але раптом почув, що його голос пропав би у сих просторах, як комариний писк…

Треба було спішити.",-1
"За горбком, у долинці, де вітер не так дошкуляв, він знайшов стаю([17]), закопчену димом.",0
Діра у стінці для диму чорніла холодним отвором.,-1
"Загороди на вівці стояли порожні, і вівчарі порались там, щоб було де ночувати при вівцях.",-1
Ватаг занятий був добуванням живого вогню.,1
"Заклавши в одвірки скалку, двоє людей перетягли ремінь, від чого скалка крутилась й скрипіла.",0
- Слава Ісусу!,1
- привітався Іван.,0
Але йому нічого не одновіли.,0
"Так само фуркала скалка, і двоє людей, скуплені й строгі, тим самим рухом перетягали ремінь.",-1
"Скалка починала куритись, і скоро маленький вогник вискочив з неї та запалав з обох кінців.",0
"Ватаг побожно підняв вогонь і встромив в ватру, зложену коло дверей.",0
- Навіки слава!,1
"- обернувся він до Івана.- Тепер маєм живий вогонь, а доки ме він горіти, ні звір, ні сила нечиста не озьмеся маржини та й нас, ирщених…

І завів Івана до стаї, де од порожніх бербениць, путин([18]) та голих лавиць йшов запах пустки.",-1
"- Завтра приженуть нам худібку, коли б допоміг панбіг усю людям віддати,- обізвавсь ватаг і розповів, що Іван має робити.",1
"Щось було спокійне, навіть величне в мові та в рухах полонинського Єазди.",1
"- Мико!…- гукнув він у двері.- А розклади борше ватру у стаї…

Тонкий кучерявий Микола, з повним жіночим обличчям, вніс в стаю вогонь.",1
"- Ти ж хто, браччіку, будеш - вівчар?",0
- зацікавивсь Іван.,0
"- Ні, я спузар,- одкрив зуби Микола,- маю пильнувати ватри, аби не згасла через все літо, бо була б біда!…- Він навіть з жахом озирнувся навколо.- Та й піти до потоку води, та й у ліс дров…

Тим часом ватра розгоралась на полонині.",-1
"Повним поваги рухом, як давній жрець, підкидав ватаг до неї сухі смереки та свіжу хвою, і синій дим легко здіймався над нею, а далі, кинутий вітром, зачеплявся за гори, перетинав чорну смугу лісів та стелився по далеких блакитних верхах.",1
"Полонина починала своє життя живим невгасимим вогнем, що мав її боронити од всього лихого.",1
"І, наче знаючи се, вогонь вивсь гордо своїм гадючим тілом та дихав усе новими клубами диму…

Чотири сильних вівчарки, поклавши в траву свої кожухи, дивились задумливо в гори, готові в одну хвилину скочить на ноги, показать зуби та наїжити шерсть.",1
День уже гас.,0
Гори міняли своє блакитне убрання на рожеві з золотом ризи.,1
Микола кликав вечерять.,0
"Тоді зійшлись до стаї всі вівчарі і сіли біля живого вогню, щоб в мирності з'їсти свою першу полонинську кулешу…

x x x
Яка ж тота полонинка повесні весела, як овечки у ню ідуть із кожного села!…

Високий ватаг, наче дух полонини, обходить з вогнем стоїще.",1
"Обличчя в нього поважне, як у жерця, ноги ступають твердо й широко, а дим з головешки фурка за ним крилатим змієм.",1
"На воротях стоїща, куди мають переходити вівці, ватаг кида вогонь, а сам наслухав.",0
Він чує хід полонинський не тільки вухом.,0
"Він серцем чує, як з глибоких долин, де киплять ріки та рвуть береги, з тихих осель і царинок котиться вгору, на поклик весни, жива хвиля худібки і під ногами її радо зітхає земля.",1
"Він чує далеке дихання отари, ричання корів і ледве вловимий голос пісень.",0
"А коли врешті показалися люди і підняли угору довгі трембіти, позолочені сонцем, щоб привітать полонину серед синіх верхів, коли заблеяли вівці і шумливим потоком залляли всі загороди, ватаг впав на коліна та підняв руки до неба.",0
"За ним схилились до молитви вівчарі й люди, що пригнали маржину.",0
"Вони прохали у бога, щоб вівця мала гаряче серце, як гарячий вогонь, який переступала, щоб господь милосердний заступив християнську худібку на росах, на водах, на всіх переходах од всякого лиха, звіра й припадку.",1
"Як допоміг бог зібрати худібку докупи, щоб так допоміг усю людям віддати…

Ласкаво слухало небо простосердечну молитву, добродушно хмурився Бескид, а вітер, пролітаючи далі, старанно вичісував трави на полонині, як мати дитячу головку…

x x x
Полонинко, верховинко, чим-есь так згорділа, чи не тими овечками, що-сь тільки уздріла?",1
- Гісь!,0
Гісь!,0
- підганяє ззаду вівчар.,0
"Вівці ліниво згинають коліна, тремтять на тонких ніжках і трусять вовну.- Гісь!",1
