,text,labels
47,"Ніжно дзвеніла над ним хвоя смерек, змішавшись з шумом ріки, сонце налляло злотом глибоку долину, зазеленило трави, десь курився синій димок од ватри([9]), з-за Ігриця оксамитовим гулом котився грім.",0
48,"Іван сидів і слухав, забувши зовсім, що має доглядати корови.",0
49,"І ось раптом в сій дзвінкій тиші почув він тиху музику, яка так довго і невловимо вилась круг його вуха, що навіть справляла муку!",-1
50,"Застиглий і нерухомий, витягнув шию і з радісним напруженням ловив дивну мелодію пісні.",-1
51,"Так люди не грали, він принаймні ніколи не чув.",-1
52,Але хто грав?,-1
53,"Навкруги була пустка, самотній ліс і не видно було живої душі.",0
54,"Іван озирнувся назад, на скелі, - і скаменів.",-1
55,"На камені, верхи, сидів ""той"", щезник, скривив гостру борідку, нагнув ріжки і, заплющивши очі, дув у флояру.",1
56,"""Нема моїх кіз… Нема моїх кіз…"" - розливалась жалем флояра.",-1
57,"Та ось ріжки піднялись вгору, щоки надулись і розплющились очі.",0
58,"""Є мої кози… Є мої кози…"" - заскакали радісно згуки, і Іван з жахом побачив, як, виткнувшись з-за галузок, затрясли головами бородаті цапи.",0
59,Він хтів тікати - й не міг.,-1
60,"Сидів прикутий на місці і німо кричав од холодного жаху, а коли врешті видобув голос, щезник звинувся і пропав раптом у скелі, а цапи обернулись в коріння дерев, повалених вітром.",-1
61,"Іван гнав тепер вниз, без тями, наосліп, рвав зрадливі обійми ожин, ламав сухі гіллячки, котився по слизьких мхах і з жахом чув, що за ним щось женеться.",-1
62,Нарешті впав.,0
63,"Скільки лежав, не пам'ятає.",-1
64,"Прийшовши до себе і вздрівши знайомі місця, він заспокоївся трохи.",0
65,"Здивований, наслухав якийсь час.",0
66,"Пісня, здавалось, бриніла вже в ньому.",-1
67,Він вийняв денцівку.,0
68,"Зразу йому не йшло, мелодія не давалась.",0
69,"Починав грати спочатку, напружував пам'ять, ловив якісь згуки, і коли врешті знайшов, що віддавна шукав, що не давало йому спокою, і лісом поплила чудна, не відома ще пісня, радість вступила у його серце, залляла сонцем гори, ліс і траву, заклекотіла в потоках, підняла ноги в Івана, і він, пожбурнувши денцівку в траву та взявшись у боки, закрутився в танці.",1
70,"Перебирав ногами, ставав легко на пальці, бив босими п'ятами в землю, щібав голубці, крутився і присідав.",1
71,"""Є мої кози… Є мої кози…"" - щось співало у ньому.",0
72,"На сонячній плямі полянки, що закралась в похмуре царство смерек, скакав біленький хлопчик, немов метелик пурхав зі стебла на стеблину, а обидві корови - жовтаня і голубаня, просунувши голови межи галузки, привітно дивились на нього, жуючи жуйку, та зрідка дзвонили йому до танцю.",-1
73,"Так знайшов він у лісі те, чого шукав.",0
74,"Вдома, в родині, Іван часто був свідком неспокою і горя.",-1
75,"За його пам'яті вже двічі коло їх хати трембітала трембіта([10]), оповіщаючи горам і долам про смерть: раз, коли брата Олексу роздушило дерево в лісі, а вдруге, коли браччік Василь, файний веселий леЄінь, загинув у бійці з ворожим родом, посічений топірцями.",-1
76,Се була стара ворожнеча між їхнім родом і родом Гутенюків.,-1
77,"Хоч всі в родині кипіли злістю й завзяттям на той диявольський рід, але ніхто не міг докладно розказати Іванові, звідки пішла ворожнеча.",-1
78,"Він теж горів бажанням помститись і хапавсь за татову бартку, важку ще для нього, готовий кинутись в бій.",-1
79,"То байка, що Іван був дев'ятнадцятий в батька, а Анничка двадцята.",0
80,Їхня родина була невелика: старині двоє та п'ятеро дітей.,-1
81,Решта п'ятнадцять спочило на цвинтарі біля церковці.,0
82,"Всі вони були богомільні, любили ходити до церкви, і особливо на храм.",1
83,"Там можна побачитись було з далеким родом, що осівся по околишніх селах, та й траплялась нагода оддячить Гутенюкам за смерть Василеву та за ту кров, що не раз чюрила з Палійчуків.",0
84,"Витягалось найкраще лудіння (одежа), нові крашениці, писані кептарі, череси і табівки, багато набивані цвяхом, дротяні запаски, черлені хустки шовкові і навіть пишна та білосніжна гугля, яку мати обережно несла на ціпку через плече.",1
85,"Іван теж дістав нову кресаню і довгу дзьобню, що била його по ногах.",0
86,"Сідлались коні, і суточками([11]) зеленим верхом ішов пишний похід та закосичував плай гейби червоним маком.",1
87,"По горах, долами й верхами, тяглися святочно прибрані люди.",0
88,"Зелена отава царинок розцвіталася раптом, вздовж Черемошу плив різнобарвний потік, а десь високо, на чорному запиналі смерекових лісів, жаром горів під ранішнім сонцем червоний дашок гуцульського парасоля.",-1
89,Незабаром Іван побачив стрічу ворожих родів.,-1
90,"Вони вже вертали з храму, тато був трохи напитий.",0
91,"Раптом на вузенькій дорозі, між скелею і Черемошем, зробився тиск.",-1
92,"Вози, кінні і піші, чоловіки й жінки - спинились і збились в купу.",0
93,"В лютому Євалті, що звіявсь одразу, як вихор, невідомо од чого, заблищали залізні бартки та заскакали перед самим обличчям.",-1
94,"Як кремінь і криця, стялись роди- Гутенюки з Палійчуками, і перше ніж Іван встиг розібрати, про що їм йдеться, тато розмахнув бартку і вдарив плазом комусь по чолі, з якого бризнула кров, залляла лице, сорочку та пишний кептар.",1
95,"Йойкнула челядь([12]), кинулась одтягати.",0
96,"а вже людина з лицем червоним, як його гачі, тяла барткою ворога в голову, і похитнувся Іванів тато, як підтята смерека.",-1
97,Іван кинувся в бійку.,-1
98,"Не пам'ятав, що робить.",0
99,Щось підняло його.,0
100,"Але дорослі потолочили йому ноги, і він не міг протиснутись туди, де бились.",-1
101,"Все ще гарячий, роз'юшений злістю, він наскочив з розгону на маленьке дівча, що тряслось з жаху біля самого воза.",-1
102,Ага!,0
103,"Се, певно, Гутенюкова дівка!",0
104,"І, не думавши довго, ударив її в лице.",0
105,"Вона скривилась, притулила руками до грудей сорочку і почала тікати.",-1
106,"Іван зловив її коло ріки, шарпнув за пазуху і роздер.",0
107,"Звідти впали на землю нові кісники, а дівчинка з криком кинулась їх захищати.",1
108,Але він видер і кинув у воду.,0
109,"Тоді дівчинка, зігнута вся, подивилась на нього спідлоба якимсь глибоким зором чорних матових очей і спокійно сказала:

- Нічьо… В мене є другі… май ліпші.",0
110,Вона наче його потішала.,0
111,"Здивований лагідним тоном, хлопець мовчав.",0
112,"- Мені неня купила нову запаску… і постоли… і мережані капчурі… і…

Він все ще не знав, що сказати.",1
113,"- Я си обую файно та й буду дівка…

Тоді йому заздрісне стало.",0
114,- А я вже вмію грати в денцівку.,-1
115,"- Наш Федір зробив си таку файну флояру… та й як зайграє…

Іван надувся.",0
116,- Я вже щезника бачив.,0
117,Вона неймовірно подивилась на нього.,1
118,- А наш о ж ти б'єш си?,0
119,- А ти нашо коло воза стояла?,0
120,"Вона подумала трохи, не знаючи, що одповісти, і почала шукать щось за пазухою.",0
121,Витягла врешті довгий цукерок.,-1
122,- Ади!,0
123,"Половину вкусила, а другу поважним, повним довір'я рухом подала йому.",1
124,- На!,0
125,"Він завагався, але узяв.",0
126,"Тепер вони вже сиділи рядочком, забувши про вереск бійки й сердитий шум річки, а вона оповідала йому, що зветься Марічка, що пасе вже дроб'єта (вівці), що якась Марцинова - сліпа на одно око - покрала у них муку… і таке інше, обом цікаве, близьке і зрозуміле, а погляд її чорних матових очей м'яко поринав у Іваново серце…

І втретє затрембітала трембіта про смерть в самотній хаті на високій кичері: другого дня по бійці помер старий Палійчук.",-1
127,Тяжкі часи настали в родині Івана по смерті Єазди.,-1
128,"Загніздилось безладдя, спливали гаразди, продавались царинки одна по одній, і маржина десь танула так, як по горах весною сніги.",-1
129,"Але в Івановій пам'яті татова смерть не так довго жила, як знайомість з дівчам, що, скривджене ним безневинно, повним довір'я рухом подало йому половину цукерка.",-1
130,В його давній і безпричинний смуток влилась нова течійка.,0
131,"Вона несвідомо тягла його в гори, носила по сусідніх кичерах, лісах і долинах, де б він міг стріти Марічку.",-1
132,І він стрівся нарешті з нею: пасла ягнята.,0
133,"Марічка його прийняла, як би давно сподівалась: він буде з нею пасти овечки.",0
134,А й справді!,0
135,"Нехай жовтаня та голубаня для себе б'ють в колокільці та вирікують в лісі, а він йме пасти її ягнята.",0
136,І як вони пасли!,0
137,"Білі ярки, забившись у холодок під смереку, дивились дурними очима, як качались по мхах двоє дітей, дзвонячи в тиші молодим сміхом.",-1
138,"Втомившись, вони забирались на біле каміння і лячно зазирали звідти у прірву, з якої стрімко підіймався у небо чорний привид гори і дихав синню, що не хтіла тануть на сонці.",1
139,В щілині поміж горами летів в долину потік і тряс по каміннях сивою бородою.,-1
140,"Так було тепло, самотньо і лячно у віковічній тиші, яку беріг ліс, що діти чули власне дихання.",0
141,"Але вухо уперто ловило і побільшало до найбільших розмірів усякий згук, що мусив жить в лісі, і їм часом здавалось, що вони чують чийсь хід потайний, глухе гупання барди, хекання втомлених грудей.",-1
142,"- Чуєш, Іва?",0
143,- шепотіла Марічка.,0
144,- Чому б не мав чути?,0
145,А чую.,0
146,"Вони обоє знали, що то бродить по лісі невидима сокира, гупа об дерева і хека з втомлених грудей.",-1
147,"Ляк проганяв їх звідти в долину, де потік плив спокійніше.",-1
148,"Вони робили собі курбало у потоці, глибоке місце, і, роздягшись, бовтались в нім, як двоє лісних звірят, що не знають, що таке сором.",-1
149,"Сонце спочивало на їх яснім волоссі і било в очі, а льодова вода потоку щипала тіло.",0
150,Марічка перша змерзала і пускалася бігти.,0
151,"- Стій,- гукав на неї Іван,- звідки ти?",0
152,"- З Я-вор-рова,- цокотіла зубами синя Марічка.",0
153,- А чия ти?,0
154,- Ковальова.,0
155,"- Бувай здорова, ковальова!",1
156,"- щипав її Іван і пускавсь доганяти, аж поки потомлені, але загріті, не падали на траву.",-1
157,"В тихім плесі потічка, над яким горів царівник сонячним світом та синів лабуштан низкою черевичків, жалібно кумкали жаби.",1
158,"Іван нахилявся понад потоком і питав жабу:

- Кума-кума, шо-с варила?",-1
159,- Бурак - борщ.,0
160,Бурак - борщ.,0
161,"Бурак - борщ… - кректала Марічка…

- Бураки-ки-ки!",0
162,Бураки-ки-ки!,0
163,"- верещали обоє, заплющивши очі, аж жаби здивовано мовкли.",0
164,"І так вони пасли, що не раз розгубили овечки.",0
165,"Коли вони старшими стали, забави були вже інші.",1
166,"Тепер Іван був уже леЄінь, стрункий і міцний, як смерічка, мастив кучері маслом, носив широкий черес і пишну кресаню.",1
167,"Марічка теж вже ходила в заплітках, а се значити мало, що вона вже готова й віддатись.",1
168,Не пасли більше вкупі ягнята і стрічались лиш в свято або в неділю.,0
169,"Сходились коло церкви або десь в лісі, щоб стариня не знала, як кохаються діти.",0
170,ворожих родів.,-1
171,"Марічка любила, коли він грав на флояру.",0
172,"Задуманий все, встромляв очі кудись поза гори, неначе видів, чого не бачили другі, прикладав мережану дудку до повних уст, і чудна пісня, якої ніхто не грав, тихо спадала на зелену отаву царинок, де вигідно послали свої тіні смереки.",-1
173,"Холодно було і мороз йшов поза шкуру, коли вилітали перші свистячі згуки.",-1
174,Наче зими лежали по мертвих горах.,-1
175,Та ось з-за гори встає вже бог-сонце і вкладає свою голову в землю.,0
176,"Зрушились зими, збудились води, і задзвеніла земля од співу потоків.",-1
177,"Розсипалось сонце пилом квіток, легким ходом ідуть по царинках нявки, а під ногами у них зеленіє перша трава.",1
178,"Зеленим духом дихнули смереки, зеленим сміхом засміялися трави, на всьому світі тільки дві барви: в зеленій - земля, в блакитній - небо… А долом Черемош мчить, жене зелену кров гір, неспокійну й шумливу…

Трембіта!… Туру-рай-ра… Туру-рай-ра…

Заграло серце у вівчарів, заблеяли вівці, учувши пашу… Шумить шваром полонина холодна, а з диких ломів, з гайна, встає на задні лаби ведмідь, пробує голос і вже бачить заспаним оком свою поживу.",0
179,"Б'ють плови([13]) весняні, ричать громом гірські верхи - і дух злого холодом віє од Чорногори… а тут раптом з'являється сонце - праве боже лице - і вже дзвенить у коси, що кладуть сіно в поліг.",-1
180,"З гори на гору, з поточка в поточок пурха коломийка, така легенька, прозора, що чуєш, як од неї за плечима тріпають крильця…

Ой прибігла з полонинки
Білая овечка -
Люблю тебе, файла любко,
Та й твої словечка…
Тихо дзвонить хвоя смерек, тихо шепчуть ліси холодні сни літньої ночі, плачуть дзвінки коров, і гори безперестанку спускають сум свій в потоки.",-1
181,"З лускотом й зойком летить десь в долину зрубане дерево в лісі, аж гори одвітно зітхають,- і знову плаче трембіта.",-1
182,Тепер вже на смерть… Спочив хтось навіки по тяжкій праці.,-1
183,"Закувала зозуленька та й коло Менчила… от тепер вже співаночка комусь си скінчила…

Марічка обзивалась на гру флояри, як самичка до дикого голуба,- співанками.",-1
184,Вона їх знала безліч.,0
185,Звідки вони з'являлись - не могла б розказати.,0
186,"Вони, здається, гойдалися з нею ще у колисці, хлюпались у купелі, родились у її грудях, як сходять квітки самосійні по сіножатях, як смереки ростуть по горах.",0
187,"На що б око не впало, що б не сталось на світі: чи пропала овечка, полюбив леЄінь, зрадила дівка, заслабла корова, зашуміла смерека - все виливалось у пісню, легку і просту, як ті гори в їх давнім, первіснім житті.",1
188,Марічка і сама вміла складати пісні.,0
189,"Сидячи на землі, поруч з Іваном, вона обіймала свої коліна і потиху гойдалася в такт.",1
190,"її круглі литки, опалені сонцем і од колін голі до червоних онучів, чорніли під полою сорочки, а повні губи мило ламались, коли вона починала:

Зозулька ми закувала сива та маленька.",0
191,"На все село іскладена пісенька новенька…

Маріччина пісня оповідала всім добре знайому подію, ще свіжу: як зчарувала Андрія Параска, як він вмирав од того та навчав не любити чужі молодиці.",1
192,"Або про горе матері, якої син загинув у лісі, придушений деревом.",-1
193,"Пісні були сумні, прості і ревні, аж краяли серце.",0
194,"Вона їх звичайно кінчала:

Ой кувала ми зозулька та й коло потічка.",0
195,А хто ісклав співаночку?,0
196,Йванкова Марічка.,0
197,"Вона давно вже була Іванкова, ще з тринадцяти літ.",0
198,Що ж в тому дивного було?,0
199,"Пасучи вівці, бачила часто, як цап перчить козу або баран валує вівці,- все було так просто, природно, відколи світ світом, що жадна нечиста думка не засмітила їй серця.",1
200,"Правда, кози та вівці стають од того кітні, але людям помагає ворожка.",0
201,Марічка не боялась нічого.,-1
202,"За поясом, на голім тілі, вона носила часник, над яким пошептала ворожка, їй ніщо тепер не зашкодить.",-1
203,На згадку про се Марічка лукаво осміхалась до себе і обіймала Івана за шию.,1
204,- Любчику Іванку!,0
205,Ци будемо в парі усе?,0
206,"- Єк бог даст, моє солодашко.",0
207,"- Ой, ні!",0
208,Велику пізьму має у серці стариня наша.,1
209,Не набутися нам.,0
210,Тоді його очі темніли і груз топірець в землю.,0
211,- Я не требую їхнею згодою.,0
212,"Най що хотє роб'є, а ти будеш моєю.",0
213,- Ой мой-мой!,0
214,"Шо ти говориш…

- Шо чуєш, душко.",0
215,"І наче на злість старині він на танцях вимахував дівкою так, що аж постоли розсідались.",-1
216,"Однак не все так складалось, як думав Іван.",0
217,"Ґаздівство його руйнувалось, вже не було коло чого усім робити і треба було йти в найми.",-1
218,Жура гризла Івана.,0
219,"- Мушу йти в полонину, Марічко,- сумував, він заздалегідь.",0
220,"- Шо ж, йди, Іванку,- покірно обзивалась Марічка.- Така нам доля судилась…

І вона співанками косичила їх розлучення, Їй було жалко, що надовго перервуться їхні стрічі в тихому лісі.",1
221,"Обіймала за шию Івана та, тулячи до його лиця біляву головку, стиха співала йому над вухом:

Ізгадай мні, мій миленький,
Два рази на днину,
А я тебе ізгадаю
Сім раз на годину.",1
222,- Ізгадаєш?,0
223,"- Ізгадаю, Марічко.",0
224,- Нічьо!,0
225,"- потішала вона його.- Ти меш, сарако, вівчарити, я му сіно робити.",0
226,"Вилізу на копицу та й си подивлю в гори на полонинку, а ти мені затрембітай… Може, почую.",0
227,"Як муть мряки сідати на гори, я сяду та й си заплачу, що не видно, де пробуває милий.",1
228,"А як в погожу нічку зазоріє небо, я му дивитись, котра зірка над полонинков - тоту бачить Іванко…

Тільки співати залишу…

- Чьому?",1
229,"Співай, Марічко, не втрачай веселості свої, я си хутко поверну.",-1
230,Але вона тільки сумно головою хитала.,-1
231,"Співаночки мої милі,
Де я вас подію?",0
232,"Хіба я вас, співаночки,
Горами посію, -
стиха обізвалась до нього Марічка.",0
233,"Гой ви мете, співаночки,
Горами співати,
Я си буду, молоденька,
Сльозами вмивати.",0
234,"Марічка зітхнула і ще сумніше додала:

Ой як буде добра доля,
Я вас позбираю,
А як буде лиха доля,
Я вас занехаю…
- Отак і мені… Може, і занехаю…

Іван слухав тоненький дівочий голос і думав, що вона давно вже засіяла гори співанками своїми, що їх співають ліси й сіножаті, груні й полонини, дзвонять потоки і виспівує сонце… Але прийде пора, він поверне до неї, і вона знов позбирає співанки, щоб було одбуть чим весілля…

x x x
Теплим весняним ранком Іван ішов в полонину.",0
235,"Ліси ще дихали холодками, гірські води шуміли на скоках, а плай([14]) радісно підіймався угору поміж воринням([15]).",1
236,"Хоч йому тяжко було покидати Марічку, а проте сонце і та шумлива зелена воля, що підпирала верхами небо, вливали в нього бадьорість.",0
237,"Він легко стрибав з каменя на камінь, наче гірський потік, і вітав стрічних, аби тільки почути свій голос:

- Слава Ісусу!",1
238,- Навіки слава.,1
239,"По далеких горбах самотіли тихі гуцульські оседки, вишневі од смерекового диму, яким прокурились, гострі дашки оборогів([16]) з запашним сіном, а в долині кучерявий Черемош сердито поблискував сивиною та світив попід скелі недобрим зеленим вогнем.",1
240,"Переходячи потік за потоком, минаючи хмурі ліси, де озивалась часом дзвінком корова або білиця сипала вниз під смереку об'їдки шишок, Іван піднімався все вище.",-1
241,"Сонце починало пекти, і кам'яниста доріжка мулила ноги.",0
242,Тепер вже хати попадалися рідше.,0
243,"Черемош простягся в долині, як срібна нитка, і шум його сюди не доходив.",-1
244,"Ліси уступали місце гірським сіножатям, м'яким і повним.",0
245,"Іван брів серед них, як по озерах квіток, нагинаючись часом, щоб закосичить кресаню жмутком червоної грані або блідим вінком невістульки.",-1
246,"Вниз западалися боки гори у глибокі чорні ізвори, звідки родились холодні потоки, куди не ступала людська нога, де плекався тільки бурий ведмідь, страшний ворог маржини - ""вуйко"".",-1
247,Вода попадалася рідше.,0
248,"Зате як припадав він до неї, коли знаходив потік, той холодний кришталь, що омивав десь жовті корні смерек і аж сюди приносив гомін лісів!",-1
249,Коло такого поточна якась добра душа лишала горнятко або коновочку гуслянки.,0
250,"А стежка вела все далі, кудись у ломи, де гнили одна на одній голі колючі смереки, без кори й хвої, як кістяки.",1
251,"Пусто і дико було на тих лісових кладовищах, забутих богом й людьми, де лиш готури гутіли та вились гадюки.",-1
252,"Тут була тиша, великий спокій природи, строгість і сум.",1
253,За плечима в Івана росли вже гори і голубіли удалині.,0
254,"Орел здіймався з кам'яних шпиць, благословляючи їх широким розмахом крил, чулось холодне полонинське дихання, і розросталось небо.",0
255,"Замість лісів тепер слався землею жереп, чорний килим повзучих смерек, в якому плутались ноги, і мхи одягали камінь зеленим шовком.",-1
256,"Далекі гори одкривали один за одним свої верхи, вигинали хребти, вставали, як хвилі в синьому морі.",1
257,"Здавалось, морські буруни застигли саме в ту мить, коли буря підняла їх з дна, щоб кинуть на землю та заллять світ.",-1
258,"Вже синіми хмарами підпирали крайнебо буковинські верхи, оповились блакиттю близькі Синиці, Дземброня і Біла Кобила, курився Ігрець, колола небо гострим шпилем Говерля, і Чорногора важким своїм тілом давила землю.",-1
259,Полонина!,0
260,"Він вже стояв на ній, на сій високій луці, вкритій густою травою.",-1
261,"Блакитне море збурених гір обляло Івана широким колом, і здавалось, що ті безконечні сині вали таки ідуть на нього, готові впасти до ніг.",0
262,"Вітер, гострий, як наточена бартка, бив йому в груди, його дихання в одно зливалось із диханням гір, і гордість обняла Іванову душу.",1
263,"Він хотів крикнуть на всі легені, щоб луна покотилась з гори на гору, аж до крайнеба, щоб захитати море верхів, але раптом почув, що його голос пропав би у сих просторах, як комариний писк…

Треба було спішити.",-1
264,"За горбком, у долинці, де вітер не так дошкуляв, він знайшов стаю([17]), закопчену димом.",0
265,Діра у стінці для диму чорніла холодним отвором.,-1
266,"Загороди на вівці стояли порожні, і вівчарі порались там, щоб було де ночувати при вівцях.",-1
